dir, x_pos, y_pos, orientation(deg), radius, residual, left, adjust_amount, mot0_0, mot0_1, mot1_0, mot1_1, mot2_0, mot2_1
3, 283.071930, 253.056880, 4638.239456, 20.365369, 5.833110, False, 11.660675, 0, 92, 0, 24, 274, 124
5, 270.250270, 237.251370, 4177.572221, 45.687930, 39.090182, False, 9.913602, 0, 92, 0, 24, 274, 114
1, 252.053280, 257.262080, 7165.833029, 24.318032, 8.234004, True, 11.303159, 0, 103, 0, 24, 274, 114
3, 274.720280, 250.055980, 2874.680519, 22.965442, 5.228146, False, 11.420547, 0, 103, 0, 24, 285, 114
0, 264.139560, 258.237790, 3201.914478, 42.219567, 7.131646, True, 10.094489, 0, 103, 0, 24, 285, 124
0, 248.164060, 269.556150, 3154.805315, 520.728844, 1.132882, True, 4.909834, 0, 103, 0, 24, 285, 129
3, 258.333890, 259.380860, 1735.713188, 22.387899, 116.265682, True, 11.472182, 0, 103, 0, 24, 274, 129
3, 255.114300, 240.685990, -2165.597692, 12.142887, 29.602588, False, 12.580513, 0, 103, 0, 24, 286, 129
0, 263.955660, 252.852220, -2452.459898, 116.367271, 1.609848, True, 7.771233, 0, 103, 0, 24, 286, 136
0, 277.191860, 265.833040, -2635.696958, 61.585948, 9.703524, True, 9.222632, 0, 103, 0, 24, 286, 146
3, 260.625890, 263.517520, -5634.839380, 15.323453, 2.305577, False, 12.190989, 0, 103, 0, 24, 298, 146
2, 261.027500, 262.024440, -5893.217562, 2550.187898, 8.148092, True, 2.920149, 0, 103, 0, 24, 295, 146
2, 260.370910, 260.139310, -5949.822355, 2.542742, 3.169396, False, 14.159820, 0, 103, 0, 24, 310, 146
2, 257.375610, 255.224960, -7250.893197, 21.587605, 1.249928, False, 11.545303, 0, 103, 0, 24, 321, 146
0, 275.006070, 246.616820, -8287.607042, 24.034590, 22.577935, True, 11.327359, 0, 103, 0, 24, 321, 157
3, 276.856260, 260.032500, 9197.021125, 10.645239, 3.851644, False, 12.782201, 0, 103, 0, 24, 334, 157
5, 283.594760, 238.760990, 6647.879182, 23.661071, 11.026715, False, 11.359569, 0, 103, 0, 24, 334, 146
1, 256.737150, 238.039520, 9516.807205, 27.279669, 2.934454, True, 11.062039, 0, 114, 0, 24, 334, 146
