13,-4,-1,-22,-5,-16,-2,30,-11,-23,23,-7,0,47,-22,-1,25,4,5,86,60,-9,-9,10,-7,120,3,-12,9,23,19,0,-38,12,-16,1,172,-4,48
42,0,-14,-14,5,24,12,12,39,16,-25,-2,-9,14,15,31,-17,8,-13,10,91,65,16,14,19,2,129,4,-22,14,14,37,-4,8,30,24,172,-68,-12
31,-35,7,-10,15,9,2,38,-25,9,-24,12,97,42,-3,20,2,35,231,1,18,15,-7,5,41,21,-24,9,-3,21,21,11,-30,24,-14,22,139,62,86
-4,43,108,-10,9,12,30,76,124,-4,-10,25,-1,30,-13,-2,-20,19,-12,47,-13,-10,-7,2,4,26,-11,16,-18,-5,21,10,35,20,24,8,157,-44,-144
23,-18,18,3,3,6,11,2,19,-10,3,-15,1,2,-7,-7,14,16,26,17,3,12,30,-3,2,109,56,-12,13,21,12,85,32,-11,10,27,204,-21,82
12,-23,11,13,-20,4,-17,49,-1,3,-7,7,2,2,-36,19,27,28,-26,55,-15,5,5,16,-3,36,-15,20,-11,18,-5,30,-11,-7,-8,-5,158,40,6
35,-31,25,-9,6,-1,0,41,21,1,21,-15,28,29,3,20,-9,3,-10,83,23,8,6,32,1,13,-13,-2,-4,24,28,18,-15,9,18,19,172,-3,48
5,-29,-3,-19,13,34,12,-21,7,26,-13,23,3,36,-17,12,31,19,-3,2,139,92,-32,10,-31,14,112,51,-1,16,-3,2,7,12,-1,-9,172,-67,-11
22,7,-25,46,-9,197,0,11,-30,28,3,39,24,-13,-41,-23,17,33,3,20,-35,0,-16,10,-5,50,-38,14,-2,21,19,19,-5,5,-8,72,170,111,-46
25,36,-9,5,-36,10,-30,16,9,14,8,0,40,59,-16,19,13,28,59,44,-29,8,7,19,34,6,-20,-25,11,46,38,0,2,-11,2,1,139,61,86
24,17,102,5,-11,4,-12,104,123,24,0,-14,24,13,24,-10,3,-1,36,-7,34,5,17,8,0,27,-30,-9,0,14,0,27,25,-14,18,16,157,-44,-144
16,30,-34,2,-24,-7,20,40,-39,4,11,8,45,17,-41,41,-18,-5,33,20,-34,-16,-16,34,34,22,23,-12,-16,9,6,-9,19,-6,-15,-4,204,-21,81
21,17,-24,-24,-14,-16,43,5,-44,11,11,15,1,21,-2,-5,-11,37,12,36,3,-42,-21,1,29,45,-21,4,-12,-4,31,2,-7,33,-6,8,158,40,7
13,18,28,33,-2,14,17,20,12,20,6,0,2,-5,3,32,31,2,-5,24,-5,-6,-4,11,28,18,144,320,-11,10,36,22,166,174,-4,6,141,-82,43
4,-18,-21,28,-12,10,-6,30,-26,3,2,18,19,4,-28,10,-22,5,31,82,26,-31,-6,13,-11,45,-4,3,10,6,-6,-16,-31,9,-4,8,173,-4,65
-13,16,-16,-26,-17,-11,14,8,3,0,1,5,61,69,-20,-34,4,5,33,33,-27,29,8,10,38,23,10,-7,-16,13,41,19,-36,-2,-8,-8,139,62,84
6,-11,42,-14,1,3,-19,80,102,-40,-14,-20,-21,16,-15,-6,-10,-39,-32,10,-21,-9,-12,-26,11,3,-1,-5,15,-13,6,5,-4,-24,4,-28,157,-43,-143
-25,-9,11,-27,-2,21,-8,6,-16,-51,4,21,-10,1,-34,-24,7,9,-2,-2,-6,-9,-5,0,-3,21,44,-21,5,-9,-7,-7,-3,-26,0,23,213,-20,81
33,25,7,-33,-13,8,34,45,-1,21,4,33,13,20,13,18,-1,13,35,15,3,14,-6,18,14,-9,-28,19,11,12,27,2,-39,-17,1,14,158,42,11
12,-2,25,13,-14,15,10,2,23,43,26,24,27,2,23,35,13,15,20,21,-2,48,8,16,34,3,199,234,-6,28,0,3,150,20,-7,4,143,-80,17
12,25,-17,-6,-1,9,9,-10,-45,19,19,13,26,0,-16,-7,-5,23,4,38,0,14,-1,-6,49,61,47,31,13,0,8,19,15,-16,18,21,179,-4,117
9,8,66,-11,2,13,22,78,116,28,19,8,38,50,7,6,9,9,13,35,-16,14,-14,12,7,-13,-25,-5,27,6,15,17,-6,2,10,-1,157,-43,-142
32,32,-26,-30,-5,7,11,19,-41,-7,2,0,27,8,-39,-18,-14,12,5,17,-3,21,41,-24,17,12,24,-4,31,21,11,6,4,3,6,28,213,-21,80
33,21,-17,14,1,-2,10,17,-26,6,-3,12,27,0,-34,-21,4,19,1,13,-23,0,11,26,9,31,-28,0,26,10,52,3,-7,18,-18,13,158,43,11
4,40,34,29,3,25,24,-1,13,22,13,30,29,-9,7,4,8,5,23,-11,5,19,14,-10,25,3,192,173,26,4,32,-5,166,28,-9,23,143,-79,18
38,26,9,9,-15,1,21,37,42,-16,19,0,32,3,-12,29,-13,12,-13,47,7,24,-2,-2,3,23,62,1,33,-12,0,-3,-1,24,-22,8,179,-4,118
33,-1,-16,28,5,-9,28,42,29,8,20,-9,108,73,-39,34,19,2,213,-21,33,16,4,10,58,17,-73,30,-21,15,6,-1,46,-23,-4,1,140,62,84
19,-3,14,0,4,-13,7,0,-41,-35,10,-10,-8,7,-12,9,-22,4,0,8,37,2,11,-8,10,2,28,13,-2,-3,-3,20,21,24,8,9,213,-21,80
2,36,24,4,14,-24,4,-5,1,31,18,-1,12,-1,35,20,16,18,-5,20,16,78,-16,3,-2,42,215,240,-11,-4,1,8,159,57,1,-9,143,-80,17
