@relation resultsNCexpanded-weka.filters.unsupervised.attribute.Remove-R37-144

@attribute 00 numeric
@attribute 01 numeric
@attribute 02 numeric
@attribute 03 numeric
@attribute 04 numeric
@attribute 05 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 52 numeric
@attribute 53 numeric
@attribute 54 numeric
@attribute 55 numeric
@attribute R numeric
@attribute B numeric
@attribute RBx numeric
@attribute RBy numeric
@attribute H numeric
@attribute Hx numeric
@attribute Hy numeric

@data
53,13,-6,-7,-4,182,22,-8,4,-13,1,25,25,-7,-7,-15,7,-8,37,-4,35,32,6,13,29,-23,-79,12,3,7,0,20,-3,-16,-6,91,170,111,-158.708673,-60.922551,-46,-0.432178,-0.901788
20,17,7,-21,-10,9,44,15,39,-19,-15,22,65,36,44,-28,-6,0,173,34,13,21,-2,25,-6,8,8,-16,9,47,15,3,-15,-15,-10,14,139,62,-122.729715,65.256547,87,0.56975,-0.821818
-9,4,116,10,-15,30,-13,55,121,0,-6,27,8,8,30,-6,10,35,41,-11,43,12,-22,19,-23,10,-9,8,24,-1,-14,9,-22,-3,-15,0,157,-44,109.061364,112.936349,-144,0.871147,0.491022
6,21,-27,-6,-8,33,1,0,20,-16,2,9,-2,31,-22,22,-3,0,41,-5,-5,43,274,15,35,3,-25,85,213,17,48,24,-54,47,3,9,138,-170,23.963449,-135.90347,-106,0.686487,0.727143
35,12,23,-26,-5,11,24,21,-40,16,-14,3,15,35,-12,44,-7,-12,-1,-8,0,3,-16,16,47,17,-40,30,-1,-2,27,5,-7,12,-6,11,158,40,-101.560442,121.035022,6,0.96017,-0.279415
19,-22,11,6,60,227,-9,23,-7,-8,140,197,3,20,20,11,13,18,17,-10,7,-2,-15,31,16,4,-31,13,4,13,2,22,4,-26,3,33,146,138,-97.693069,-108.499145,27,-0.292139,0.956376
13,-4,-1,-22,-5,-16,-2,30,-11,-23,23,-7,0,47,-22,-1,25,4,5,86,60,-9,-9,10,-7,120,3,-12,9,23,19,0,-38,12,-16,1,172,-4,11.998113,171.581017,48,-0.640144,-0.768255
42,0,-14,-14,5,24,12,12,39,16,-25,-2,-9,14,15,31,-17,8,-13,10,91,65,16,14,19,2,129,4,-22,14,14,37,-4,8,30,24,172,-68,159.475623,64.432334,-12,0.843854,0.536573
31,-35,7,-10,15,9,2,38,-25,9,-24,12,97,42,-3,20,2,35,231,1,18,15,-7,5,41,21,-24,9,-3,21,21,11,-30,24,-14,22,139,61,-121.572139,67.388537,86,-0.383698,-0.923458
-4,43,108,-10,9,12,30,76,124,-4,-10,25,-1,30,-13,-2,-20,19,-12,47,-13,-10,-7,2,4,26,-11,16,-18,-5,21,10,35,20,24,8,157,-44,109.061364,112.936349,-144,0.871147,0.491022
